Field=#~Integer~#~50|Field=Comment~String~Comment~100|Field=Description~String~Description~100|Field=Designator~String~Designator~100|Field=Footprint~String~Footprint~100|Field=LibRef~String~LibRef~100|Field=Quantity~Integer~Quantity~100|Field=Capacitance~String~Capacitance~100|Field=Manufacturer 1~String~Manufacturer 1~100|Field=Manufacturer 2~String~Manufacturer 2~100|Field=Manufacturer Part Number 1~String~Manufacturer Part Number 1~100|Field=Manufacturer Part Number 2~String~Manufacturer Part Number 2~100|Field=Resistance~String~Resistance~100|Field=Supplier 1~String~Supplier 1~100|Field=Supplier 2~String~Supplier 2~100|Field=Supplier Currency 1~String~Supplier Currency 1~100|Field=Supplier Currency 2~String~Supplier Currency 2~100|Field=Supplier Order Qty 1~Integer~Supplier Order Qty 1~100|Field=Supplier Order Qty 2~Integer~Supplier Order Qty 2~100|Field=Supplier Part Number 1~String~Supplier Part Number 1~100|Field=Supplier Part Number 2~String~Supplier Part Number 2~100|Field=Supplier Stock 1~Integer~Supplier Stock 1~100|Field=Supplier Stock 2~Integer~Supplier Stock 2~100|Field=Supplier Subtotal 1~Float~Supplier Subtotal 1~100|Field=Supplier Subtotal 2~Float~Supplier Subtotal 2~100|Field=Supplier Unit Price 1~Float~Supplier Unit Price 1~100|Field=Supplier Unit Price 2~Float~Supplier Unit Price 2~100|ReportField=Currency~<none>|ReportField=ProductionQuantity~1|ReportField=ProjectFileName~hub_board.PrjPcb|ReportField=ProjectFullPath~C:\Users\d\Documents\Hall-electronic\boards\hub\hub_board.PrjPcb|ReportField=Title~Copy of Bill of Materials excel For Project [hub_board.PrjPcb] (No PCB Document Selected)|ReportField=TotalQuantity~56|ReportField=ReportTime~16:21:41|ReportField=ReportDate~16/03/2017|ReportField=ReportDateTime~16/03/2017 16:21:41|ReportField=OutputName~Copy of Bill of Materials excel|ReportField=OutputType~BOM_PartType|ReportField=GeneratorName~BOM|ReportField=GeneratorDescription~Bill of Materials|ReportField=VariantName~None|ReportField=Address1~|ReportField=Address2~|ReportField=Address3~|ReportField=Address4~|ReportField=Application_BuildNumber~|ReportField=ApprovedBy~|ReportField=Author~|ReportField=CheckedBy~|ReportField=CompanyName~|ReportField=ConfigurationParameters~|ReportField=ConfiguratorName~|ReportField=CurrentDate~16/03/2017|ReportField=CurrentTime~15:32:56|ReportField=Date~|ReportField=DocumentFullPathAndName~C:\Users\d\Documents\Hall-electronic\boards\hub\hub_board.SchDoc|ReportField=DocumentName~hub_board.SchDoc|ReportField=DocumentNumber~1|ReportField=DrawnBy~|ReportField=Engineer~|ReportField=ImagePath~|ReportField=IsUserConfigurable~|ReportField=ModifiedDate~14/03/2017|ReportField=Organization~|ReportField=ProjectName~hub_board.PrjPcb|ReportField=Revision~|ReportField=Rule~|ReportField=SheetNumber~1|ReportField=SheetTotal~7|ReportField=Time~|ReportField=Title~Hall / Hub Board|ReportField=VersionControl_ProjFolderRevNumber~|ReportField=VersionControl_RevNumber~|ReportField=DataSourceFileName~hub_board.PrjPcb|ReportField=DataSourceFullPath~C:\Users\d\Documents\Hall-electronic\boards\hub\hub_board.PrjPcb|ReportField=PCBDataSourceFileName~hub_board.PcbDoc|ReportField=PCBDataSourceFullPath~C:\Users\d\Documents\Hall-electronic\boards\hub\hub_board.PcbDoc|ReportField=PCBConfigurationName~Sources|ReportField=Item~|ReportField=ItemRevision~|ReportField=ItemAndRevision~|ReportField=ItemRevisionBase~|ReportField=ItemRevisionLevel1~|ReportField=ItemRevisionLevel2~|ReportField=ItemRevisionLevel1AndBase~|ReportField=ItemRevisionLevel2AndLevel1~
1|HEADER-1X2||K1|HEADER-1X2|HEADER-1X2|1||{URL}{URL.TEXT}Supplier%20disabled{URL.TIP}Component|{URL}{URL.TEXT}{URL.TIP}Component|{URL}{URL.TEXT}Supplier%20disabled{URL.TIP}Manufacturer|{URL}{URL.TEXT}{URL.TIP}Manufacturer||Digi-Key||Supplier disabled||||{URL}{URL.TEXT}S1011E-36-ND{URL.TIP}Supplier|{URL}{URL.TEXT}{URL.TIP}Supplier||||||
2|HEADER-1X6||K2|HEADER-1X6|HEADER-1X6|1||{URL}{URL.TEXT}Supplier%20disabled{URL.TIP}Component|{URL}{URL.TEXT}{URL.TIP}Component|{URL}{URL.TEXT}Supplier%20disabled{URL.TIP}Manufacturer|{URL}{URL.TEXT}{URL.TIP}Manufacturer||Digi-Key||Supplier disabled||||{URL}{URL.TEXT}S1011E-36-ND{URL.TIP}Supplier|{URL}{URL.TEXT}{URL.TIP}Supplier||||||
3|fermiumlabs-logo||logo|frm-med|fermiumlabs-logo|1||{URL}{URL.TEXT}{URL.TIP}Component|{URL}{URL.TEXT}{URL.TIP}Component|{URL}{URL.TEXT}{URL.TIP}Manufacturer|{URL}{URL.TEXT}{URL.TIP}Manufacturer||||||||{URL}{URL.TEXT}{URL.TIP}Supplier|{URL}{URL.TEXT}{URL.TIP}Supplier||||||
4|||P2, P4|dc-jack|jackdc|2||{URL}{URL.TEXT}Loading...{URL.TIP}Component|{URL}{URL.TEXT}{URL.TIP}Component|{URL}{URL.TEXT}Loading...{URL.TIP}Manufacturer|{URL}{URL.TEXT}{URL.TIP}Manufacturer||TME||Loading...||||{URL}{URL.TEXT}FC68148{URL.TIP}Supplier|{URL}{URL.TEXT}{URL.TIP}Supplier||||||
5|||P5|FC68125|FC68125|1||{URL}{URL.TEXT}Loading...{URL.TIP}Component|{URL}{URL.TEXT}{URL.TIP}Component|{URL}{URL.TEXT}Loading...{URL.TIP}Manufacturer|{URL}{URL.TEXT}{URL.TIP}Manufacturer||TME||Loading...||||{URL}{URL.TEXT}FC68125{URL.TIP}Supplier|{URL}{URL.TEXT}{URL.TIP}Supplier||||||
6|protoboard||PRT1, PRT2|protoboard-half-inch|protoboard|2||{URL}{URL.TEXT}{URL.TIP}Component|{URL}{URL.TEXT}{URL.TIP}Component|{URL}{URL.TEXT}{URL.TIP}Manufacturer|{URL}{URL.TEXT}{URL.TIP}Manufacturer||||||||{URL}{URL.TEXT}{URL.TIP}Supplier|{URL}{URL.TEXT}{URL.TIP}Supplier||||||
7|AVK-182-050BK||W1||AVK-182-050BK|1||{URL}{URL.TEXT}{URL.TIP}Component|{URL}{URL.TEXT}{URL.TIP}Component|{URL}{URL.TEXT}{URL.TIP}Manufacturer|{URL}{URL.TEXT}{URL.TIP}Manufacturer||||||||{URL}{URL.TEXT}{URL.TIP}Supplier|{URL}{URL.TEXT}{URL.TIP}Supplier||||||
8|CAB-25WW/2||W2||CAB-25WW/2|1||{URL}{URL.TEXT}{URL.TIP}Component|{URL}{URL.TEXT}{URL.TIP}Component|{URL}{URL.TEXT}{URL.TIP}Manufacturer|{URL}{URL.TEXT}{URL.TIP}Manufacturer||||||||{URL}{URL.TEXT}{URL.TIP}Supplier|{URL}{URL.TEXT}{URL.TIP}Supplier||||||
9||Adjustable Precision Shunt Regulator|U7|TI-D8_N|TL431ACD|1||{URL}{URL.TEXT}Loading...{URL.TIP}Component|{URL}{URL.TEXT}{URL.TIP}Component|{URL}{URL.TEXT}Loading...{URL.TIP}Manufacturer|{URL}{URL.TEXT}{URL.TIP}Manufacturer||TME||Loading...||||{URL}{URL.TEXT}TL431ACD{URL.TIP}Supplier|{URL}{URL.TEXT}{URL.TIP}Supplier||||||
10||Capacitor|C1, C4, C7, C9, C11, C17|CAP 1206/3216|Cap2|6|10µF|{URL}{URL.TEXT}Loading...{URL.TIP}Component|{URL}{URL.TEXT}{URL.TIP}Component|{URL}{URL.TEXT}Loading...{URL.TIP}Manufacturer|{URL}{URL.TEXT}{URL.TIP}Manufacturer||TME||Loading...||||{URL}{URL.TEXT}CL31A106KAHNNNE{URL.TIP}Supplier|{URL}{URL.TEXT}{URL.TIP}Supplier||||||
11||Capacitor|C2|CAP 0805/2012|Cap2|1|1µF|{URL}{URL.TEXT}Loading...{URL.TIP}Component|{URL}{URL.TEXT}{URL.TIP}Component|{URL}{URL.TEXT}Loading...{URL.TIP}Manufacturer|{URL}{URL.TEXT}{URL.TIP}Manufacturer||TME||Loading...||||{URL}{URL.TEXT}CL21B105KAFNNNE{URL.TIP}Supplier|{URL}{URL.TEXT}{URL.TIP}Supplier||||||
12||Capacitor|C3, C5, C6, C8, C10, C12, C13, C14, C15, C16, C19, C21|CAP 0805/2012|Cap2|12|100nF|{URL}{URL.TEXT}Loading...{URL.TIP}Component|{URL}{URL.TEXT}{URL.TIP}Component|{URL}{URL.TEXT}Loading...{URL.TIP}Manufacturer|{URL}{URL.TEXT}{URL.TIP}Manufacturer||TME||Loading...||||{URL}{URL.TEXT}CC0805JRX7R9104{URL.TIP}Supplier|{URL}{URL.TEXT}{URL.TIP}Supplier||||||
13|Cap2|Capacitor|C18, C20|CAP 1206/3216|Cap2|2|10µF|{URL}{URL.TEXT}Loading...{URL.TIP}Component|{URL}{URL.TEXT}{URL.TIP}Component|{URL}{URL.TEXT}Loading...{URL.TIP}Manufacturer|{URL}{URL.TEXT}{URL.TIP}Manufacturer||TME||Loading...||||{URL}{URL.TEXT}CL31A106KAHNNNE{URL.TIP}Supplier|{URL}{URL.TEXT}{URL.TIP}Supplier||||||
14||Connector  RJ45 8 PIN|J1|RJ45GE|RJ45-GENERIC|1||{URL}{URL.TEXT}Loading...{URL.TIP}Component|{URL}{URL.TEXT}{URL.TIP}Component|{URL}{URL.TEXT}Loading...{URL.TIP}Manufacturer|{URL}{URL.TEXT}{URL.TIP}Manufacturer||TME||Loading...||||{URL}{URL.TEXT}RJ45GE{URL.TIP}Supplier|{URL}{URL.TEXT}{URL.TIP}Supplier||||||
15||d-sub, 25 pins,  Right Angle|J2|DB25|D Connector 25|1||{URL}{URL.TEXT}Loading...{URL.TIP}Component|{URL}{URL.TEXT}{URL.TIP}Component|{URL}{URL.TEXT}Loading...{URL.TIP}Manufacturer|{URL}{URL.TEXT}{URL.TIP}Manufacturer||TME||Loading...||||{URL}{URL.TEXT}DB25-PL-24{URL.TIP}Supplier|{URL}{URL.TEXT}{URL.TIP}Supplier||||||
16||Instrumentation amplifier|U3, U4, U5, U6|SOIC8-AD8220|AD8226|4||{URL}{URL.TEXT}Supplier%20disabled,%20Loading...,%20Loading...,%20Supplier%20disabled{URL.TIP}Component|{URL}{URL.TEXT}{URL.TIP}Component|{URL}{URL.TEXT}Supplier%20disabled,%20Loading...,%20Loading...,%20Supplier%20disabled{URL.TIP}Manufacturer|{URL}{URL.TEXT}{URL.TIP}Manufacturer||Mouser, TME, TME, Mouser||Supplier disabled, Loading..., Loading..., Supplier disabled||||{URL}{URL.TEXT}584-AD8226ARMZ,%20AD8220ARMZ,%20AD8220ARMZ,%20584-AD8226ARMZ{URL.TIP}Supplier|{URL}{URL.TEXT}{URL.TIP}Supplier||||||
17||K thermocouple amplifier|U2|ADI-RM-8_N|AD8494ARMZ|1||{URL}{URL.TEXT}Supplier%20disabled{URL.TIP}Component|{URL}{URL.TEXT}{URL.TIP}Component|{URL}{URL.TEXT}Supplier%20disabled{URL.TIP}Manufacturer|{URL}{URL.TEXT}{URL.TIP}Manufacturer||Mouser||Supplier disabled||||{URL}{URL.TEXT}584-AD8495ARMZ{URL.TIP}Supplier|{URL}{URL.TEXT}{URL.TIP}Supplier||||||
